Date,Open
10/9/12,13582.87988
10/8/12,13589.25977
10/5/12,13569.17969
10/4/12,13495.17969
10/3/12,13479.20996
10/2/12,13515.29981
10/1/12,13437.66016
9/28/12,13485.88965
9/27/12,13413.46973
9/26/12,13458.62988
9/25/12,13559.91992
9/24/12,13577.84961
9/21/12,13597.24023
9/20/12,13575.16992
9/19/12,13565.41016
9/18/12,13552.33008
9/17/12,13588.57031
9/14/12,13540.40039
9/13/12,13329.70996
9/12/12,13321.62012
9/11/12,13254.59961
9/10/12,13308.55957
9/7/12,13289.53027
9/6/12,13045.23047
9/5/12,13036.08984
9/4/12,13092.15039
8/31/12,13002.71973
8/30/12,13101.29004
8/29/12,13103.45996
8/28/12,13122.74023
8/27/12,13157.74023
8/24/12,13052.82031
8/23/12,13171.37012
8/22/12,13198.30957
8/21/12,13272.09961
8/20/12,13274.58008
8/17/12,13251.2002
8/16/12,13163.24023
8/15/12,13157.46973
8/14/12,13168.11035
8/13/12,13204.92969
8/10/12,13163.15039
8/9/12,13174.73047
8/8/12,13158.09961
8/7/12,13118.65039
8/6/12,13099.87988
8/3/12,12884.82031
8/2/12,12969.7002
8/1/12,13007.46973
7/31/12,13071.71973
7/30/12,13075.34961
7/27/12,12888.91016
7/26/12,12680.58984
7/25/12,12617.76953
7/24/12,12720.92969
7/23/12,12820.4502
7/20/12,12942.67969
7/19/12,12909.61035
7/18/12,12796.98047
7/17/12,12728.73047
7/16/12,12776.33008
7/13/12,12573.73047
7/12/12,12602.70996
7/11/12,12653.04004
7/10/12,12733.87012
7/9/12,12772.01953
7/6/12,12889.40039
7/5/12,12941.84961
7/3/12,12868.05957
7/2/12,12879.70996
6/29/12,12604.59961
6/28/12,12626.25
6/27/12,12532.92969
6/26/12,12503.57031
6/25/12,12639.79981
6/22/12,12574.82031
6/21/12,12823.09961
6/20/12,12837.09961
6/19/12,12744.62012
6/18/12,12767.01953
6/15/12,12652.20996
6/14/12,12497.88965
6/13/12,12566.37988
6/12/12,12412.07031
6/11/12,12553.80957
6/8/12,12460.80957
6/7/12,12416.53027
6/6/12,12125
6/5/12,12101.08008
6/4/12,12119.84961
6/1/12,12391.55957
5/31/12,12414.41016
5/30/12,12579.01953
5/29/12,12454.83008
5/25/12,12530.74023
5/24/12,12491.91016
5/23/12,12501.51953
5/22/12,12505.37988
5/21/12,12369.15039
5/18/12,12443.01953
5/17/12,12598.32031
5/16/12,12617.32031
5/15/12,12695.04981
5/14/12,12818.49023
5/11/12,12851.79004
5/10/12,12831.58008
5/9/12,12921.80957
5/8/12,13000.73047
5/7/12,13035.84961
5/4/12,13204.62012
5/3/12,13267.58984
5/2/12,13278.11035
5/1/12,13214.16016
4/30/12,13228.30957
4/27/12,13204.7002
4/26/12,13090.11035
4/25/12,12997.69043
4/24/12,12927.76953
4/23/12,13028.2002
4/20/12,12964.48047
4/19/12,13028.73047
4/18/12,13114.55957
4/17/12,12921.79004
4/16/12,12850.87988
4/13/12,12986.2002
4/12/12,12806.4502
4/11/12,12716.91992
4/10/12,12929.44043
4/9/12,13057.57031
4/5/12,13067.17969
4/4/12,13198.19043
4/3/12,13258.95996
4/2/12,13211.36035
3/30/12,13147.94043
3/29/12,13125.99023
3/28/12,13195.38965
3/27/12,13242.08984
3/26/12,13082.62012
3/23/12,13045.99023
3/22/12,13124.40039
3/21/12,13170.79004
3/20/12,13238.4502
3/19/12,13231.94043
3/16/12,13253.50977
3/15/12,13192.96973
3/14/12,13177.15039
3/13/12,12953.2002
3/12/12,12920.58008
3/9/12,12908.62012
3/8/12,12835.53027
3/7/12,12756.12012
3/6/12,12958.65039
3/5/12,12977.33984
3/2/12,12980.75
3/1/12,12952.29004
2/29/12,13005.41992
2/28/12,12976.74023
2/27/12,12981.12988
2/24/12,12981.2002
2/23/12,12937.08008
2/22/12,12966.21973
2/21/12,12949.33984
2/17/12,12903.33008
2/16/12,12779.80957
2/15/12,12864.65039
2/14/12,12871.76953
2/13/12,12799.11035
2/10/12,12889.54981
2/9/12,12884.41016
2/8/12,12865.79004
2/7/12,12844.37012
2/6/12,12860.71973
2/3/12,12705.04004
2/2/12,12716.54004
